0.00 --> 0.36 :  In
0.36 --> 0.78 :  September
0.78 --> 1.78 :  2014,
2.32 --> 2.54 :  just
2.54 --> 2.78 :  a
2.78 --> 3.08 :  few
3.08 --> 3.44 :  months
3.44 --> 3.76 :  into
3.76 --> 3.98 :  his
3.98 --> 4.28 :  job
4.28 --> 4.60 :  as
4.60 --> 4.96 :  CEO,
5.58 --> 5.96 :  Nadella
5.96 --> 6.20 :  made
6.20 --> 6.64 :  another
6.64 --> 7.10 :  move
7.10 --> 7.26 :  that
7.26 --> 7.48 :  made
7.48 --> 8.34 :  everyone
8.34 --> 8.68 :  scratch
8.68 --> 8.98 :  their
8.98 --> 9.40 :  heads.
9.94 --> 10.18 :  He
10.18 --> 10.52 :  announced
10.52 --> 10.78 :  that
10.78 --> 11.24 :  Microsoft
11.24 --> 11.74 :  was
11.74 --> 12.06 :  buying
12.06 --> 12.22 :  a
12.22 --> 12.66 :  video
12.66 --> 12.96 :  game
12.96 --> 13.40 :  company
13.40 --> 13.76 :  called
13.76 --> 14.36 :  Mojang
14.36 --> 14.92 :  for
14.92 --> 15.36 :  $2
15.36 --> 16.18 : .5
16.18 --> 16.72 :  billion.
17.56 --> 18.28 :  This
18.28 --> 18.80 :  wasn't
18.80 --> 19.00 :  just
19.00 --> 19.50 :  any
19.50 --> 19.80 :  game
19.80 --> 20.30 :  company.
20.70 --> 21.02 :  This
21.02 --> 21.22 :  was
21.22 --> 21.38 :  the
21.38 --> 21.72 :  company
21.72 --> 21.96 :  that
21.96 --> 22.22 :  made
22.22 --> 22.90 :  Minecraft,
23.52 --> 23.66 :  the
23.66 --> 24.34 :  insanely
24.34 --> 25.12 :  popular
25.12 --> 25.70 :  super
25.70 --> 26.24 :  simple
26.24 --> 26.56 :  looking
26.56 --> 26.98 :  game
26.98 --> 27.40 :  where
27.40 --> 27.54 :  you
27.54 --> 27.92 :  build
27.92 --> 28.22 :  things
28.22 --> 28.50 :  out
28.50 --> 28.60 :  of
28.60 --> 28.96 :  blocks.
29.65 --> 29.98 :  The
29.98 --> 30.54 :  reaction
30.54 --> 30.82 :  from
30.82 --> 31.08 :  Wall
31.08 --> 31.40 :  Street
31.40 --> 31.78 :  was
31.78 --> 32.48 :  brutal.
33.02 --> 33.16 :  They
33.16 --> 33.32 :  were
33.32 --> 33.96 :  furious.
34.56 --> 34.88 :  Why
34.88 --> 35.00 :  are
35.00 --> 35.16 :  you
35.16 --> 35.56 :  wasting
35.56 --> 36.22 :  billions
36.22 --> 36.50 :  on
36.50 --> 36.62 :  a
36.62 --> 37.18 :  kid's
37.18 --> 37.46 :  game?
37.92 --> 38.12 :  You're
38.12 --> 38.42 :  supposed
38.42 --> 38.66 :  to
38.66 --> 38.76 :  be
38.76 --> 38.92 :  an
38.92 --> 39.42 :  enterprise
39.42 --> 40.08 :  software
40.08 --> 40.62 :  company.
40.96 --> 41.22 :  Focus
41.22 --> 41.50 :  on
41.50 --> 41.62 :  the
41.62 --> 42.18 :  cloud,
42.44 --> 42.56 :  they
42.56 --> 42.94 :  screamed.
43.62 --> 43.80 :  It
43.80 --> 44.12 :  seemed
44.12 --> 44.34 :  like
44.34 --> 44.48 :  a
44.48 --> 44.98 :  completely
44.98 --> 45.74 :  random,
46.12 --> 46.52 :  frivolous
46.52 --> 46.96 :  purchase.
47.68 --> 47.94 :  But
47.94 --> 48.52 :  Nadella
