0.00 --> 0.26 :  At
0.26 --> 0.42 :  the
0.42 --> 0.62 :  heart
0.62 --> 0.80 :  of
0.80 --> 1.50 :  Microsoft's
1.50 --> 2.06 :  transformation
2.06 --> 2.48 :  under
2.48 --> 3.26 :  Sattianadella
3.26 --> 3.74 :  is
3.74 --> 3.86 :  a
3.86 --> 4.40 :  profound
4.40 --> 4.84 :  re
4.84 --> 5.32 : -evaluation
5.32 --> 5.66 :  of
5.66 --> 5.80 :  its
5.80 --> 6.10 :  core
6.10 --> 6.50 :  purpose.
7.18 --> 7.44 :  In
7.44 --> 7.52 :  the
7.52 --> 7.96 :  past,
8.26 --> 8.78 :  Microsoft's
8.78 --> 9.06 :  mission
9.06 --> 9.24 :  was
9.24 --> 9.60 :  often
9.60 --> 10.14 :  perceived
10.14 --> 10.28 :  as
10.28 --> 10.48 :  being
10.48 --> 10.72 :  about
10.72 --> 11.12 :  market
11.12 --> 11.70 :  domination,
12.24 --> 12.42 :  about
12.42 --> 12.80 :  putting
12.80 --> 12.94 :  a
12.94 --> 13.26 :  Windows
13.26 --> 13.64 :  PC
13.64 --> 14.02 :  on
14.02 --> 14.22 :  every
14.22 --> 14.58 :  desk,
14.98 --> 15.08 :  and
15.08 --> 15.24 :  about
15.24 --> 15.74 :  competing
15.74 --> 16.32 :  fiercely.
16.90 --> 17.14 :  Well,
17.34 --> 17.70 :  financially
17.70 --> 18.34 :  successful,
18.84 --> 19.10 :  this
19.10 --> 19.44 :  narrow
19.44 --> 19.88 :  focus
19.88 --> 20.38 :  sometimes
20.38 --> 20.80 :  lacked
20.80 --> 20.98 :  a
20.98 --> 21.38 :  deeper,
21.64 --> 21.78 :  more
21.78 --> 22.36 :  unifying
22.36 --> 22.80 :  meaning
22.80 --> 23.06 :  for
23.06 --> 23.22 :  its
23.22 --> 23.48 :  vast
23.48 --> 23.96 :  workforce
23.96 --> 24.34 :  and
24.34 --> 24.48 :  for
24.48 --> 24.58 :  the
24.58 --> 24.80 :  wider
24.80 --> 25.18 :  world.
25.90 --> 26.48 :  Nadella's
26.48 --> 26.98 :  refreshed
26.98 --> 27.26 :  mission
27.26 --> 27.74 :  statement
27.74 --> 28.34 :  to
28.34 --> 28.70 :  empower
28.70 --> 29.16 :  every
29.16 --> 29.58 :  person
29.58 --> 29.76 :  and
29.76 --> 30.06 :  every
30.06 --> 30.64 :  organization
30.64 --> 30.88 :  on
30.88 --> 30.98 :  the
30.98 --> 31.34 :  planet
31.34 --> 31.54 :  to
31.54 --> 31.84 :  achieve
31.84 --> 32.16 :  more
32.16 --> 32.82 :  is
32.82 --> 33.48 :  deceptively
33.48 --> 33.86 :  simple
33.86 --> 34.12 :  yet
34.12 --> 34.70 :  incredibly
34.70 --> 35.30 :  powerful.
35.72 --> 36.10 :  It
36.10 --> 36.34 :  shifts
36.34 --> 36.54 :  the
36.54 --> 36.82 :  focus
36.82 --> 37.08 :  from
37.08 --> 37.48 :  Microsoft
37.48 --> 37.96 :  itself
37.96 --> 38.50 :  to
38.50 --> 38.60 :  the
38.60 --> 38.94 :  impact
38.94 --> 39.12 :  it
39.12 --> 39.24 :  can
39.24 --> 39.40 :  have
39.40 --> 39.52 :  on
39.52 --> 39.78 :  others.
40.24 --> 40.58 :  It's
40.58 --> 40.72 :  about
40.72 --> 41.08 :  providing
41.08 --> 41.46 :  tools
41.46 --> 41.66 :  and
41.66 --> 42.12 :  platforms
