0.00 --> 0.30 :  The
0.30 --> 0.52 :  old
0.52 --> 1.04 :  Microsoft,
1.52 --> 1.62 :  the
1.62 --> 1.80 :  one
1.80 --> 2.02 :  run
2.02 --> 2.28 :  by
2.28 --> 2.58 :  Bill
2.58 --> 2.90 :  Gates
2.90 --> 3.20 :  and
3.20 --> 3.54 :  Steve
3.54 --> 3.94 :  Balmer,
4.30 --> 4.52 :  was
4.52 --> 4.68 :  a
4.68 --> 5.24 :  corporate
5.24 --> 6.06 :  warlord.
6.46 --> 6.72 :  They
6.72 --> 6.98 :  saw
6.98 --> 7.52 :  every
7.52 --> 7.84 :  other
7.84 --> 8.10 :  tech
8.10 --> 8.54 :  company
8.54 --> 8.82 :  as
8.82 --> 9.02 :  an
9.02 --> 9.50 :  enemy
9.50 --> 9.70 :  to
9.70 --> 9.80 :  be
9.80 --> 10.44 :  crushed.
10.96 --> 11.18 :  They
11.18 --> 11.30 :  were
11.30 --> 11.74 :  famous
11.74 --> 12.02 :  for
12.02 --> 12.26 :  their
12.26 --> 12.94 :  embrace,
13.40 --> 13.84 :  extend,
14.24 --> 14.32 :  and
14.32 --> 15.08 :  extinguish
15.08 --> 15.68 :  strategy,
16.02 --> 16.26 :  where
16.26 --> 16.40 :  they
16.40 --> 16.54 :  would
16.54 --> 16.86 :  enter
16.86 --> 17.04 :  a
17.04 --> 17.16 :  new
17.16 --> 17.50 :  market,
17.96 --> 18.16 :  make
18.16 --> 18.44 :  their
18.44 --> 18.86 :  product
18.86 --> 19.46 :  compatible
19.46 --> 19.76 :  with
19.76 --> 19.86 :  the
19.86 --> 20.14 :  leader,
20.70 --> 20.82 :  add
20.82 --> 21.04 :  their
21.04 --> 21.32 :  own
21.32 --> 21.84 :  proprietary
21.84 --> 22.54 :  features,
22.90 --> 23.14 :  and
23.14 --> 23.34 :  then
23.34 --> 23.68 :  use
23.68 --> 23.86 :  their
23.86 --> 24.30 :  Windows
24.30 --> 24.74 :  monopoly
24.74 --> 25.26 :  to
25.26 --> 25.64 :  kill
25.64 --> 25.86 :  the
25.86 --> 26.52 :  competition.
26.96 --> 27.28 :  They
27.28 --> 27.46 :  were
27.46 --> 28.04 :  ruthless,
28.52 --> 28.56 :  and
28.56 --> 28.70 :  they
28.70 --> 28.86 :  were
28.86 --> 29.30 :  hated
29.30 --> 29.62 :  for
29.62 --> 29.80 :  it.
30.28 --> 30.38 :  They
30.38 --> 30.56 :  had
30.56 --> 30.88 :  more
30.88 --> 31.76 :  antitrust
31.76 --> 32.30 :  lawsuits
32.30 --> 32.78 :  filed
32.78 --> 33.10 :  against
33.10 --> 33.36 :  them
33.36 --> 33.52 :  than
33.52 --> 33.68 :  you
33.68 --> 33.86 :  can
33.86 --> 34.34 :  count.
34.94 --> 35.32 :  Partnership
35.32 --> 35.90 :  was
35.90 --> 36.06 :  a
36.06 --> 36.46 :  dirty
36.46 --> 36.82 :  word
36.82 --> 37.02 :  in
37.02 --> 37.42 :  Redmond.
38.30 --> 38.88 :  Nadella's
38.88 --> 39.38 :  Microsoft
39.38 --> 39.76 :  was
39.76 --> 39.92 :  the
39.92 --> 40.52 :  complete
40.52 --> 41.10 :  opposite.
41.62 --> 41.90 :  He
41.90 --> 42.16 :  knew
42.16 --> 42.36 :  that
42.36 --> 42.46 :  in
42.46 --> 42.58 :  a
42.58 --> 42.88 :  cloud
42.88 --> 43.20 : -first
43.20 --> 43.68 :  world,
43.92 --> 43.98 :  you
43.98 --> 44.38 :  couldn't
44.38 --> 44.52 :  go
44.52 --> 44.64 :  it
44.64 --> 44.94 :  alone.
45.46 --> 46.06 :  Customers
46.06 --> 46.20 :  were
46.20 --> 46.48 :  using
46.48 --> 46.66 :  a
46.66 --> 46.96 :  mix
46.96 --> 47.20 :  of
47.20 --> 47.52 :  different
47.52 --> 48.24 :  technologies
48.24 --> 48.56 :  from
48.56 --> 48.94 :  different
48.94 --> 49.42 :  companies,
49.78 --> 49.98 :  and
49.98 --> 50.12 :  they
50.12 --> 50.72 :  expected
50.72 --> 50.96 :  them
50.96 --> 51.08 :  to
51.08 --> 51.28 :  work
51.28 --> 51.74 :  together.
52.22 --> 52.52 :  So
52.52 --> 53.02 :  Nadella
53.02 --> 53.28 :  went
53.28 --> 53.46 :  on
53.46 --> 53.60 :  a
53.60 --> 53.96 :  peace
53.96 --> 54.38 :  tour.
54.38 --> 55.14 :  One
55.14 --> 55.24 :  of
55.24 --> 55.34 :  the
55.34 --> 55.56 :  most
55.56 --> 56.04 :  shocking
56.04 --> 56.64 :  partnerships
56.64 --> 57.12 :  was
57.12 --> 57.44 :  with
57.44 --> 57.96 :  Salesforce.
58.70 --> 58.96 :  For
58.96 --> 59.44 :  years,
59.82 --> 60.10 :  Microsoft
60.10 --> 60.54 :  and
60.54 --> 61.02 :  Salesforce,
61.58 --> 61.66 :  led
61.66 --> 61.86 :  by
61.86 --> 62.06 :  its
62.06 --> 62.50 :  flashy
62.50 --> 63.10 :  CEO,
63.32 --> 63.48 :  Mark
63.48 --> 64.06 :  Benioff,
64.42 --> 64.46 :  were
64.46 --> 64.94 :  bitter
64.94 --> 65.44 :  rivals.
66.02 --> 66.20 :  They
66.20 --> 66.72 :  competed
66.72 --> 67.40 :  fiercely
67.40 --> 67.60 :  in
67.60 --> 67.68 :  the
67.68 --> 68.10 :  customer
68.10 --> 68.78 :  relationship
68.78 --> 69.42 :  management,
69.78 --> 70.32 :  CRM.
70.92 --> 71.42 :  Benioff
