0.00 --> 0.50 :  So,
0.88 --> 1.22 :  what
1.22 --> 1.40 :  was
1.40 --> 1.56 :  the
1.56 --> 2.02 :  result
2.02 --> 2.36 :  of
2.36 --> 2.50 :  all
2.50 --> 2.72 :  this
2.72 --> 3.10 :  chaos?
3.76 --> 3.90 :  All
3.90 --> 4.08 :  the
4.08 --> 4.86 :  firings,
5.02 --> 5.08 :  the
5.08 --> 5.34 :  write
5.34 --> 5.70 :  downs,
6.00 --> 6.08 :  the
6.08 --> 6.54 :  shocking
6.54 --> 7.36 :  partnerships,
7.74 --> 7.98 :  and
7.98 --> 8.08 :  the
8.08 --> 8.54 :  complete
8.54 --> 9.10 :  gutting
9.10 --> 9.22 :  of
9.22 --> 9.32 :  the
9.32 --> 9.86 :  company's
9.86 --> 10.22 :  culture?
10.88 --> 11.08 :  The
11.08 --> 11.50 :  result
11.50 --> 11.90 :  was
11.90 --> 12.18 :  one
12.18 --> 12.26 :  of
12.26 --> 12.38 :  the
12.38 --> 12.62 :  most
12.62 --> 13.32 :  staggering
13.32 --> 14.18 :  turnarounds
14.18 --> 14.36 :  in
14.36 --> 14.48 :  the
14.48 --> 14.92 :  history
14.92 --> 15.14 :  of
15.14 --> 15.54 :  business.
16.18 --> 16.40 :  When
16.40 --> 16.78 :  Nadella
16.78 --> 17.04 :  took
17.04 --> 17.38 :  over
17.38 --> 17.54 :  in
17.54 --> 17.88 :  February
17.88 --> 18.92 :  2014,
19.58 --> 20.20 :  Microsoft's
20.20 --> 20.40 :  stock
20.40 --> 20.68 :  price
20.68 --> 20.92 :  was
20.92 --> 21.32 :  hovering
21.32 --> 21.60 :  around
21.60 --> 22.26 :  $36
22.26 --> 22.88 :  a
22.88 --> 23.22 :  share.
23.64 --> 24.00 :  The
24.00 --> 24.44 :  company's
24.44 --> 24.72 :  market
24.72 --> 25.58 :  capitalization
25.58 --> 25.80 :  was
25.80 --> 26.10 :  about
26.10 --> 26.78 :  $300
26.78 --> 27.26 :  billion,
28.18 --> 28.84 :  respectable
28.84 --> 29.34 :  but
29.34 --> 29.94 :  pathetic
29.94 --> 30.44 :  compared
30.44 --> 30.66 :  to
30.66 --> 30.80 :  its
30.80 --> 31.14 :  glory
31.14 --> 31.58 :  days,
31.88 --> 31.96 :  and
31.96 --> 32.46 :  dwarfed
32.46 --> 32.64 :  by
32.64 --> 33.32 :  newcomers
33.32 --> 33.50 :  like
33.50 --> 33.96 :  Apple
33.96 --> 34.24 :  and
34.24 --> 34.64 :  Google.
