0.00 --> 0.50 :  One
0.50 --> 0.68 :  of
0.68 --> 1.32 :  Nadella's
1.32 --> 1.58 :  most
1.58 --> 2.30 :  profound
2.30 --> 2.96 :  contributions
2.96 --> 3.32 :  to
3.32 --> 3.68 :  Microsoft
3.68 --> 4.42 :  was
4.42 --> 4.66 :  his
4.66 --> 5.72 :  unwavering
5.72 --> 6.08 :  emphasis
6.08 --> 6.42 :  on
6.42 --> 6.96 :  empathy.
7.56 --> 7.82 :  He
7.82 --> 8.22 :  introduced
8.22 --> 8.50 :  it
8.50 --> 8.70 :  not
8.70 --> 8.88 :  as
8.88 --> 9.04 :  a
9.04 --> 9.76 :  soft
9.76 --> 10.40 :  tangential
10.40 --> 10.84 :  quality,
11.24 --> 11.34 :  but
11.34 --> 11.60 :  as
11.60 --> 11.70 :  a
11.70 --> 12.28 :  strategic
12.28 --> 12.94 :  imperative
12.94 --> 13.46 :  of
13.46 --> 13.94 :  foundational
13.94 --> 14.66 :  principle
14.66 --> 15.32 :  essential
15.32 --> 15.58 :  for
15.58 --> 16.12 :  understanding
16.12 --> 16.60 :  users,
17.04 --> 17.32 :  partners,
17.68 --> 17.88 :  and
17.88 --> 18.08 :  even
18.08 --> 18.64 :  employees.
19.24 --> 19.58 :  For
19.58 --> 19.98 :  Nadella,
20.32 --> 20.64 :  empathy
20.64 --> 20.90 :  is
20.90 --> 21.06 :  the
21.06 --> 21.42 :  ability
21.42 --> 21.70 :  to
21.70 --> 22.34 :  understand
22.34 --> 22.74 :  and
22.74 --> 23.12 :  share
23.12 --> 23.34 :  the
23.34 --> 23.68 :  feelings
23.68 --> 23.88 :  of
23.88 --> 24.14 :  another,
24.52 --> 24.72 :  to
24.72 --> 25.12 :  walk
25.12 --> 25.34 :  in
25.34 --> 25.64 :  someone
25.64 --> 25.98 :  else's
25.98 --> 26.24 :  shoes.
26.24 --> 27.14 :  He
27.14 --> 27.62 :  posited
27.62 --> 27.82 :  that
