0.00 --> 0.38 :  So,
0.66 --> 0.88 :  with
0.88 --> 1.00 :  the
1.00 --> 1.42 :  Nokia
1.42 --> 2.00 :  disaster
2.00 --> 2.86 :  unfolding
2.86 --> 3.28 :  and
3.28 --> 3.42 :  the
3.42 --> 3.82 :  company
3.82 --> 4.52 :  basically
4.52 --> 5.00 :  adrift,
5.74 --> 5.88 :  Steve
5.88 --> 6.30 :  Balmer
6.30 --> 6.90 :  finally
6.90 --> 7.32 :  announced
7.32 --> 7.60 :  he
7.60 --> 7.74 :  was
7.74 --> 8.06 :  stepping
8.06 --> 8.36 :  down
8.36 --> 8.56 :  in
8.56 --> 8.94 :  August
8.94 --> 9.84 :  2013.
10.48 --> 10.88 :  The
10.88 --> 11.12 :  hunt
11.12 --> 11.36 :  for
11.36 --> 11.50 :  the
11.50 --> 11.90 :  third
11.90 --> 12.50 :  CEO
12.50 --> 12.72 :  in
12.72 --> 13.56 :  Microsoft's
13.56 --> 13.88 :  history
13.88 --> 14.36 :  was
14.36 --> 14.80 :  on,
15.30 --> 15.46 :  and
15.46 --> 15.56 :  it
15.56 --> 15.70 :  was
15.70 --> 15.88 :  an
15.88 --> 16.60 :  absolute
16.60 --> 17.60 :  circus.
18.30 --> 18.50 :  The
18.50 --> 18.86 :  board,
19.28 --> 19.36 :  led
19.36 --> 19.56 :  by
19.56 --> 19.94 :  Chairman
19.94 --> 20.30 :  John
20.30 --> 20.72 :  Thompson,
21.10 --> 21.22 :  was
21.22 --> 21.40 :  in
21.40 --> 21.52 :  a
21.52 --> 22.06 :  panic.
22.68 --> 22.88 :  They
22.88 --> 23.20 :  knew
23.20 --> 23.38 :  the
23.38 --> 23.76 :  company
23.76 --> 24.06 :  needed
24.06 --> 24.26 :  a
24.26 --> 24.70 :  radical
24.70 --> 25.32 :  change,
25.50 --> 25.74 :  not
25.74 --> 25.96 :  just
25.96 --> 26.10 :  a
26.10 --> 26.26 :  new
26.26 --> 26.74 :  manager,
27.22 --> 27.50 :  so
27.50 --> 27.78 :  they
27.78 --> 28.20 :  started
28.20 --> 28.50 :  looking
28.50 --> 29.30 :  everywhere.
29.96 --> 30.18 :  Their
30.18 --> 30.58 :  first
30.58 --> 30.92 :  instinct
30.92 --> 31.26 :  was
