0.00 --> 0.60 :  Tuck
0.60 --> 0.78 :  is
0.78 --> 1.20 :  cheap.
1.78 --> 2.08 :  Nadella
2.08 --> 2.24 :  could
2.24 --> 2.48 :  send
2.48 --> 2.90 :  all
2.90 --> 3.08 :  the
3.08 --> 3.28 :  nice
3.28 --> 3.74 :  emails
3.74 --> 3.98 :  he
3.98 --> 4.40 :  wanted,
4.70 --> 4.92 :  but
4.92 --> 5.08 :  to
5.08 --> 5.58 :  truly
5.58 --> 6.02 :  change
6.02 --> 6.56 :  Microsoft,
6.94 --> 7.20 :  he
7.20 --> 7.34 :  had
7.34 --> 7.48 :  to
7.48 --> 7.62 :  make
7.62 --> 7.86 :  some
7.86 --> 7.96 :  of
7.96 --> 8.08 :  the
8.08 --> 8.34 :  most
8.34 --> 8.82 :  brutal
8.82 --> 9.32 :  decisions
9.32 --> 9.60 :  in
9.60 --> 9.66 :  the
9.66 --> 10.16 :  company's
10.16 --> 10.54 :  history.
10.88 --> 11.26 :  He
11.26 --> 11.44 :  had
11.44 --> 11.60 :  to
11.60 --> 11.90 :  prove
11.90 --> 12.14 :  that
12.14 --> 12.28 :  the
12.28 --> 12.60 :  old
12.60 --> 12.86 :  way
12.86 --> 13.00 :  of
13.00 --> 13.32 :  thinking
13.32 --> 13.70 :  was
13.70 --> 14.08 :  well
14.08 --> 14.40 :  and
14.40 --> 14.92 :  truly
14.92 --> 15.32 :  dead.
16.00 --> 16.28 :  His
16.28 --> 16.66 :  first
16.66 --> 17.00 :  target,
17.40 --> 17.52 :  the
17.52 --> 17.90 :  Nokia
17.90 --> 18.36 :  phone
18.36 --> 18.80 :  business,
19.26 --> 19.36 :  the
19.36 --> 19.88 :  $7
19.88 --> 20.46 :  billion
20.46 --> 21.06 :  dollar
21.06 --> 21.32 :  zombie
21.32 --> 21.54 :  that
21.54 --> 21.68 :  was
21.68 --> 22.02 :  still
22.02 --> 22.50 :  eating
22.50 --> 22.70 :  the
22.70 --> 23.26 :  company's
23.26 --> 23.48 :  soul.
24.08 --> 24.42 :  Just
24.42 --> 24.62 :  a
24.62 --> 24.84 :  little
24.84 --> 25.18 :  over
25.18 --> 25.34 :  a
25.34 --> 25.56 :  year
25.56 --> 25.92 :  after
25.92 --> 26.08 :  the
26.08 --> 26.28 :  deal
26.28 --> 26.48 :  was
26.48 --> 26.90 :  closed,
27.22 --> 27.28 :  in
27.28 --> 27.56 :  July
27.56 --> 28.44 :  2015,
29.04 --> 29.42 :  Nadella
29.42 --> 29.72 :  did
29.72 --> 29.96 :  the
29.96 --> 30.62 :  unthinkable.
31.00 --> 31.22 :  He
31.22 --> 31.50 :  wrote
31.50 --> 31.74 :  it
31.74 --> 32.08 :  all
32.08 --> 32.60 :  off.
33.02 --> 33.20 :  He
33.20 --> 33.48 :  announced
33.48 --> 33.74 :  that
33.74 --> 34.10 :  Microsoft
34.10 --> 34.52 :  was
34.52 --> 34.80 :  taking
34.80 --> 35.02 :  a
35.02 --> 35.40 :  $7
35.40 --> 36.24 : .6
36.24 --> 36.90 :  billion
36.90 --> 37.52 :  charge
37.52 --> 38.08 :  related
38.08 --> 38.32 :  to
38.32 --> 38.42 :  the
38.42 --> 38.70 :  Nokia
38.70 --> 39.28 :  acquisition.
39.84 --> 40.38 :  That's
40.38 --> 40.58 :  right,
41.02 --> 41.16 :  he
41.16 --> 41.52 :  admitted
41.52 --> 41.74 :  to
41.74 --> 41.90 :  the
41.90 --> 42.38 :  entire
42.38 --> 42.98 :  world
42.98 --> 43.34 :  that
43.34 --> 43.52 :  they
43.52 --> 43.70 :  had
43.70 --> 44.06 :  wasted
44.06 --> 44.42 :  more
44.42 --> 44.84 :  money
44.84 --> 45.08 :  than
45.08 --> 45.26 :  the
45.26 --> 45.78 :  entire
45.78 --> 46.38 :  value
46.38 --> 46.52 :  of
46.52 --> 46.64 :  the
46.64 --> 46.92 :  deal
46.92 --> 47.38 :  itself.
48.12 --> 48.48 :  This
48.48 --> 48.82 :  was
48.82 --> 48.98 :  a
48.98 --> 49.50 :  public
49.50 --> 50.16 :  execution.
50.58 --> 50.90 :  It
50.90 --> 51.04 :  was
51.04 --> 51.52 :  Nadella
51.52 --> 52.04 :  standing
52.04 --> 52.28 :  on
52.28 --> 52.60 :  stage
52.60 --> 52.88 :  and
52.88 --> 53.22 :  telling
53.22 --> 53.42 :  the
53.42 --> 53.76 :  world,
54.30 --> 54.36 :  we
54.36 --> 54.72 :  were
54.72 --> 55.12 :  wrong.
55.58 --> 55.84 :  This
55.84 --> 56.42 :  strategy
56.42 --> 56.70 :  was
56.70 --> 56.82 :  a
56.82 --> 57.40 :  disaster
57.40 --> 57.94 :  and
57.94 --> 58.24 :  it
58.24 --> 58.56 :  is
58.56 --> 59.06 :  over.
59.80 --> 60.06 :  Along
60.06 --> 60.32 :  with
60.32 --> 60.46 :  the
60.46 --> 60.62 :  write
60.62 --> 60.94 :  down
60.94 --> 61.28 :  came
61.28 --> 61.50 :  the
61.50 --> 61.90 :  layoffs.
62.54 --> 62.92 :  18
62.92 --> 63.76 : ,000
63.76 --> 64.14 :  people
64.14 --> 64.42 :  lost
64.42 --> 64.64 :  their
64.64 --> 65.06 :  jobs,
65.46 --> 65.66 :  most
65.66 --> 65.86 :  of
65.86 --> 66.02 :  them
66.02 --> 66.16 :  from
66.16 --> 66.28 :  the
66.28 --> 66.54 :  Nokia
66.54 --> 67.00 :  division.
67.54 --> 67.78 :  It
67.78 --> 67.94 :  was
67.94 --> 68.62 :  incredibly
